name,url,id,numberOfVideos,numberOfSubscribers,dataCollected,videos2025,inscritos2025,dataColetada2025
ARTE DA GUERRA,https://www.youtube.com/@ARTEDAGUERRA,UCNlCllCWYAtU7TzBNKwaMHw,6405,487000,2024-08-12 10:10:58,7474,519000,2025-05-25 09:43:51
Ideias Radicais,https://www.youtube.com/@ideiasradicais,UC-NwgkrLPYmzM-xoLr2GX-Q,3465,808000,2024-08-12 10:10:58,3683,809000,2025-05-25 09:43:51
Fernando Ulrich,https://www.youtube.com/@FernandoUlrichCanal,UCLJkh3QjHsLtK0LZFd28oGg,1391,661000,2024-08-12 10:10:58,1606,768000,2025-05-25 09:43:51
ANCAPSU Classic,https://www.youtube.com/@ANCAPSUClassic,UC54AQb7XNGeby0a9uE5eRKg,131,46900,2024-08-12 10:10:58,136,53900,2025-05-25 09:43:51
ANCAPSU,https://www.youtube.com/@ancap_su,UCLTWPE7XrHEe8m_xAmNbQ-Q,7759,524000,2024-08-12 10:10:59,10692,714000,2025-05-25 09:43:51
Canal de Brasília,https://youtube.com/channel/UC_609pA3c3_RzrOlLCe4wCw?si=NFlX7hGKf1waVqKo,UC_609pA3c3_RzrOlLCe4wCw,4728,220000,2024-08-12 10:10:59,5289,237000,2025-05-25 09:43:51
Didi Red Pill,https://www.youtube.com/@DIDIREDPILL,UCpJ3jHK9lTA7tElmldAGOGA,2488,345000,2024-08-12 10:10:59,3531,416000,2025-05-25 09:43:51
Olavo de Carvalho,https://www.youtube.com/@opropriolavodecarvalho,UC6RQhzm93SterWntL7GzqYQ,535,1130000,2024-08-12 10:10:59,753,1170000,2025-05-25 09:43:51
MBL - Movimento Brasil Livre,https://www.youtube.com/@mblivre,UC8QAdpiEWAOg3AOCCFDCOYw,3359,1350000,2024-08-12 10:10:59,3412,1350000,2025-05-25 09:43:51
Nando Moura,https://www.youtube.com/@NandoMouraOficial,UCOOCeqi5txwviDZ4M5W9QSg,2758,3460000,2024-08-12 10:11:00,2988,3490000,2025-05-25 09:43:51
Diego Rox Oficial,https://www.youtube.com/@DiegoRoxOficial,UCZcpoE-o9lKEa_F2orF4D3w,403,1790000,2024-08-12 10:11:00,423,1770000,2025-05-25 09:43:51
Paulo Kogos,https://www.youtube.com/@paulokogos,UCmArkwjUI8VRHudOjEsVCUw,180,192000,2024-08-12 10:11:00,313,192000,2025-05-25 09:43:51
Alessandro Santana Oficial,https://www.youtube.com/@AlessandroSantanaOficial,UC7_vgvSBx0Md1wyCGLrgLRA,7137,735000,2024-08-12 10:11:00,8055,761000,2025-05-25 09:43:51
Caio Coppolla,https://www.youtube.com/@CaioCoppolla,UcqkoOgSof-lNcv8OzRPQj6w,328,1640000,2024-08-12 10:11:00,386,1710000,2025-05-25 09:43:51
Joel Pinheiro,https://www.youtube.com/@joelpinheirodafonsec,UCzCTEyydtrZ5AvXQaQ-TGsg,350,92800,2024-08-12 10:11:01,366,95200,2025-05-25 09:43:51
Mamaefalei,https://www.youtube.com/@Mamaefalei,UckSjy-IOEq-eMtarZl2uH1Q,2200,2610000,2024-08-12 10:11:01,2600,2630000,2025-05-25 09:43:51
Paula Marisa,https://www.youtube.com/@PaulaMarisa,UCBUqZ4qQIYZUwi_gF-ougBQ,1095,750000,2024-08-12 10:11:01,1200,774000,2025-05-25 09:43:51
MBLiveTV - Lives do MBL,https://www.youtube.com/@MBLiveTV,UCZYyHef3eBoBEztAOY_Fe_g,2096,241000,2024-08-12 10:11:01,2875,313000,2025-05-25 09:43:51
Cortes do Mamãe Falei,https://www.youtube.com/@cortesdomamaefalei,UCCyg5qwGOWaW3WCWExAndIQ,1653,126000,2024-08-12 10:11:01,2323,183000,2025-05-25 09:43:51
Cortes do Kim,https://www.youtube.com/@CortesdoKim,UC7PpQV6aBZYxiBH2TpQcKHw,805,156000,2024-08-12 10:11:02,894,172000,2025-05-25 09:43:51
Cortes do MBL,https://www.youtube.com/@CortesdoMBL,UC_hb3-hOFioxkjGrhvUIbOA,3794,454000,2024-08-12 10:11:02,5425,501000,2025-05-25 09:43:51
Heróis da Direita,https://www.youtube.com/@heroisdadireita,UCbQogQ7pc1an2vS78FFP7ww,27,147000,2024-08-12 10:11:02,27,143000,2025-05-25 09:43:51
Mateus Batista,https://www.youtube.com/@mateusbatistasc,UCWnjQzvwT33fv3WodrgvC2g,214,14900,2024-08-12 10:11:02,292,14900,2025-05-25 09:43:51
