viewCount	likeCount	commentCount	cluster
45898	9178	365	0
72607	10547	289	2
52878	7484	918	2
10416	1817	154	0
13019	2434	194	0
12810	2283	215	0
53825	9881	156	0
77933	14339	147	2
55247	8023	196	0
39852	5615	331	0
21586	3565	265	0
12934	2152	199	0
13587	2991	253	0
52667	11577	285	2
66540	13384	206	2
48868	7824	124	0
28064	4514	133	0
47491	9327	1409	2
77159	13845	384	2
84512	16125	225	2
15909	2726	305	0
196266	18647	1220	2
58203	12050	321	2
61251	12702	128	2
64441	9934	160	2
30386	5510	223	0
25223	4703	415	0
11381	2607	172	0
124402	15927	428	2
115655	17037	128	2
42722	7580	152	0
14011	1600	104	0
7879	1720	231	0
8217	1367	197	0
74602	15890	281	2
42617	7649	224	0
112636	15044	364	2
48645	8577	223	0
35759	6018	336	0
45165	8842	250	0
84719	14981	172	2
51995	8622	297	0
10071	1639	186	0
60221	12611	355	2
53340	11250	122	2
46842	8491	135	0
5685	1078	42	0
20564	4539	312	0
67709	13698	576	2
64181	12620	163	2
63525	13682	815	2
29967	5248	110	0
24457	4831	129	0
20163	3597	353	0
35371	7175	393	0
7680	1507	52	0
9869	2567	221	0
42021	9402	214	0
76689	14837	204	2
44378	7624	90	0
25493	5542	840	0
45467	8421	426	0
13387	2943	207	0
49618	8668	174	0
103466	18733	178	2
99569	10341	174	2
40893	6691	68	0
25158	4885	284	0
14428	3762	407	0
50588	10064	252	2
42102	8602	147	0
81155	12647	125	2
63369	11291	555	2
8745	1708	70	0
4076	836	29	0
19737	4348	364	0
67796	14268	372	2
35716	7482	168	0
51894	8599	316	0
239164	16635	1855	2
10477	1541	311	0
52388	11219	225	2
59905	11905	141	2
41689	7192	88	0
8338	1478	79	0
12741	2530	249	0
31517	6831	198	0
36710	7551	139	0
69254	10286	130	2
8614	1539	51	0
7623	1256	96	0
48058	8981	312	0
64465	10091	95	2
35864	6028	113	0
34950	6107	1330	2
17722	2673	499	0
18474	3360	446	0
67486	10590	275	2
55984	11947	218	2
37902	6308	152	0
7064	1415	142	0
28717	4611	292	0
14618	2994	388	0
80355	10995	246	2
161484	15952	211	2
38742	6257	278	0
56484	8122	162	0
33458	5731	95	0
28205	5452	357	0
17061	3367	131	0
94088	15135	222	2
9445	1589	122	0
10643	2142	216	0
88514	12545	150	2
17663	2902	116	0
51681	7417	65	0
10625	1753	105	0
8333	1707	80	0
43904	8651	907	2
55298	9831	158	0
58115	11439	130	2
207536	17267	1110	2
33057	5919	89	0
22396	3475	42	0
104795	11591	405	2
28910	5750	167	0
23845	5617	443	0
29285	5772	89	0
37895	6603	79	0
40638	6795	172	0
7243	1252	151	0
17117	3421	143	0
45442	8026	1016	2
71484	10179	171	2
43074	8549	122	0
43130	6974	111	0
13497	2672	220	0
12555	2420	342	0
14967	3792	327	0
50834	10266	351	2
38979	7293	102	0
25920	5802	472	0
44628	7158	171	0
16337	2504	606	0
10173	1644	341	0
15238	3007	627	0
40166	7655	524	0
47931	9182	236	0
76175	14724	156	2
38540	7210	231	0
58182	9025	913	2
30902	5641	381	0
11620	1998	124	0
12391	3086	261	0
34526	6711	310	0
97251	17643	299	2
41029	6998	158	0
14913	2927	267	0
36993	7274	478	0
37582	8237	560	0
52583	10449	284	2
46502	9356	178	0
55622	8550	182	0
2507	395	8	0
14254	1783	448	0
16006	3861	152	0
71970	13570	246	2
56930	9745	147	0
23802	5661	510	0
55982	6446	587	0
17560	2431	50	0
16091	3842	304	0
40436	8944	303	0
40676	7354	129	0
15569	3130	380	0
14238	3194	324	0
24850	4955	153	0
24371	4678	410	0
34639	8252	885	2
93977	16068	318	2
67286	12223	268	2
39011	6964	239	0
29712	4751	220	0
8818	1580	188	0
23640	4633	263	0
35820	6939	192	0
370505	45800	4253	1
14865	2750	45	0
7259	1877	134	0
6065	1305	79	0
26629	5514	178	0
53755	8096	72	0
2620	530	30	0
6213	1236	262	0
36844	7200	282	0
12406	2523	114	0
69535	12912	166	2
38867	6597	204	0
1997	244	5	0
45382	8954	433	0
9489	2269	125	0
12153	2364	136	0
49755	8507	430	0
35367	7205	213	0
63477	10445	322	2
